jours;debut;ending;activity;cam
1/2;16:53:12;11:14:00;transport;cam_inf
2;11:14:00;15:17:00;resting;cam_inf
2;15:17:00;15:31:00;column;cam_inf
2;15:31:00;15:42:00;resting;cam_inf
2;15:42:00;15:57:00;column;cam_inf
2/3;15:57:00;14:42:00;resting;cam_inf
3;14:42:00;15:07:00;column;cam_inf
3;15:07:00;15:43:00;resting;cam_inf
3;15:43:00;16:23:00;column;cam_inf
3;16:23:00;17:06:00;resting;cam_inf
3;17:06:00;17:44:00;column;cam_inf
3;17:44:00;18:03:00;resting;cam_inf
3;18:03:00;18:09:00;column;cam_inf
3/4;18:09:00;01:57:00;resting;cam_inf
4;01:57:00;02:11:00;column;cam_inf
4;02:11:00;02:21:00;resting;cam_inf
4;02:21:00;02:27:00;column;cam_inf
4;02:27:00;02:42:00;resting;cam_inf
4;02:42:00;03:30:00;column;cam_inf
4;03:30:00;04:04:00;resting;cam_inf
4;04:04:00;04:14:00;column;cam_inf
4;04:14:00;04:21:00;resting;cam_inf
4;04:21:00;08:13:00;foraging;cam_inf
4;08:13:00;09:43:00;resting;cam_inf
2/3;16:54:00;07:05:00;resting;cam_sup
3;07:05:00;08:06:00;foraging;cam_sup
3;08:06:00;13:58:00;resting;cam_sup
3;13:58:00;14:03:00;column;cam_sup
3;14:03:00;14:16:00;resting;cam_sup
3;14:16:00;15:57:00;foraging;cam_sup
3;15:57:00;16:01:00;resting;cam_sup
3;16:01:00;16:36:00;column;cam_sup
3;16:36:00;16:50:00;resting;cam_sup
3;16:50:00;17:05:00;column;cam_sup
3;17:05:00;17:11:00;resting;cam_sup
3;17:11:00;17:23:00;column;cam_sup
3;17:23:00;17:34:00;resting;cam_sup
3;17:34:00;17:42:00;column;cam_sup
3;17:42:00;17:58:00;resting;cam_sup
3;17:58:00;18:06:00;column;cam_sup
3/4;18:06:00;00:08:00;resting;cam_sup
4;11:21:00;14:49:00;foraging;cam_sup
4;14:49:00;22:42:00;resting;cam_sup
4;22:42:00;22:53:00;column;cam_sup
4/5;22:53:00;15:16:00;resting;cam_sup
5;15:16:00;15:23:00;column;cam_sup
5;15:23:00;15:33:00;resting;cam_sup
5;15:33:00;16:19:00;column;cam_sup
5;16:19:00;16:42:00;resting;cam_sup
5;16:42:00;18:26:00;foraging;cam_sup
5/6;18:26:00;19:58:00;resting;cam_sup
7;14:11:00;16:01:00;resting;cam_sup
7;16:01:00;17:27:00;foraging;cam_sup
7;17:27:00;18:19:00;column;cam_sup
7/8;18:19:00;04:35:00;resting;cam_sup
8;04:35:00;04:48:00;column;cam_sup
8;04:48:00;05:06:00;resting;cam_sup
8;05:06:00;05:28:00;column;cam_sup
8;05:28:00;05:31:00;resting;cam_sup
8;05:31:00;05:34:00;column;cam_sup
8;05:34:00;06:11:00;resting;cam_sup
8;06:11:00;11:34:00;foraging;cam_sup
8;11:34:00;16:38:00;resting;cam_sup
7/8;14:12:00;03:49:00;resting;cam_inf
8;03:49:00;04:18:00;column;cam_inf
8;04:18:00;05:02:00;resting;cam_inf
8;05:02:00;05:11:00;column;cam_inf
8;05:11:00;05:27:00;resting;cam_inf
8;05:27:00;05:40:00;column;cam_inf
8;05:40:00;06:13:00;resting;cam_inf
8;06:13:00;06:21:00;column;cam_inf
8;06:21:00;06:54:00;resting;cam_inf
8;06:54:00;07:21:00;column;cam_inf
8;07:21:00;16:39:00;resting;cam_inf
