day;start;end;predator;attack1;attack2;attack3;attack4;attack5;cam
1;19:47:00;19:49:00;Opiliones;;;;;;cam_inf
1;20:14:00;20:15:00;Opiliones;;;;;;cam_inf
1;20:44:00;20:45:00;Opiliones;20:45:00;;;;;cam_inf
1;20:55:00;21:09:00;Opiliones;20:59:00;;;;;cam_inf
1;21:25:00;21:26:00;Opiliones;;;;;;cam_inf
1;21:30:00;21:31:00;Opiliones;;;;;;cam_inf
1;21:51:00;22:15:00;Opiliones;21:57:00;;;;;cam_inf
1;22:23:00;22:27:00;Opiliones;;;;;;cam_inf
1;22:41:00;22:43:00;Opiliones;22:43:00;;;;;cam_inf
1;22:45:00;22:47:00;Opiliones;;;;;;cam_inf
1;23:03:00;23:04:00;Reduviidae;23:04:00;;;;;cam_inf
1;23:05:00;23:06:00;Reduviidae;23:06:00;;;;;cam_inf
1;23:06:00;23:07:00;Opiliones;;;;;;cam_inf
1;23:13:00;23:18:00;Opiliones;;;;;;cam_inf
1;23:35:00;23:51:00;Reduviidae;23:39:00;;;;;cam_inf
1;23:43:00;23:46:00;Opiliones;;;;;;cam_inf
1;23:52:00;23:53:00;Opiliones;;;;;;cam_inf
1;23:54:00;23:56:00;Opiliones;;;;;;cam_inf
1/2;23:55:00;00:07:00;Reduviidae;23:55:00;23:59:00;00:01:00;00:02:00;00:04:00;cam_inf
1/2;23:57:00;00:07:00;Opiliones;;;;;;cam_inf
2;00:07:00;00:14:00;Opiliones;;;;;;cam_inf
2;00:17:00;00:40:00;Opiliones;;;;;;cam_inf
2;01:05:00;01:06:00;Reduviidae;01:06:00;;;;;cam_inf
2;01:24:00;01:26:00;Reduviidae;;;;;;cam_inf
2;01:32:00;01:37:00;Reduviidae;01:37:00;;;;;cam_inf
2;01:49:00;01:51:00;Opiliones;;;;;;cam_inf
2;01:54:00;01:55:00;Opiliones;;;;;;cam_inf
2;01:58:00;02:00:00;Opiliones;;;;;;cam_inf
2;02:38:00;02:41:00;Opiliones;;;;;;cam_inf
