nest;cam;Opiliones_n_presences;Opiliones_n_attacks;Opiliones_n_attacks_by_presence;Reduviidae_n_presences;Reduviidae_n_attacks;Reduviidae_n_attacks_by_presence;total_minutes
All;All;148;28;0.1892;17;49;2.8824;16727
All;cam_inf;81;19;0.2346;17;49;2.8824;8658
All;cam_sup;67;9;0.1343;0;0;nan;8069
1;All;9;2;0.2222;0;0;nan;2459
1;cam_inf;4;0;0.0000;0;0;nan;1248
1;cam_sup;5;2;0.4000;0;0;nan;1211
2;All;93;13;0.1398;0;0;nan;12334
2;cam_inf;31;6;0.1935;0;0;nan;5476
2;cam_sup;62;7;0.1129;0;0;nan;6858
3;All;46;13;0.2826;17;49;2.8824;1934
3;cam_inf;46;13;0.2826;17;49;2.8824;1934
